ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
1.69473	0.048958	1.98172	0.118131	1.69543	1.98524	-0.286996	-0.069173	-0.289807	-14.4822	-58.5562	-14.5981
1.71071	0.0166302	1.98567	0.125349	1.71079	1.98962	-0.274962	-0.108719	-0.278834	-13.8473	-86.7329	-14.0144
1.69385	0.0570512	1.98531	0.129988	1.69481	1.98956	-0.291463	-0.0729368	-0.294754	-14.681	-56.1104	-14.815
1.6314	0.0054188	1.97647	0.128971	1.63141	1.98067	-0.345067	-0.123552	-0.349261	-17.4587	-95.7984	-17.6335
1.67986	0.0521355	1.9608	0.124962	1.68067	1.96478	-0.280946	-0.0728265	-0.284115	-14.3281	-58.2789	-14.4604
1.77853	0.0324849	1.93783	0.122902	1.77883	1.94172	-0.159299	-0.0904171	-0.162896	-8.22048	-73.5685	-8.38923
1.72704	0.056257	1.9127	0.12126	1.72795	1.91654	-0.185667	-0.065003	-0.188591	-9.70704	-53.6063	-9.84015
1.75631	0.050662	1.89108	0.113352	1.75704	1.89447	-0.134769	-0.06269	-0.137433	-7.1266	-55.3056	-7.25443
1.57184	0.0601933	1.8732	0.100741	1.57299	1.87591	-0.301366	-0.0405477	-0.302921	-16.0883	-40.2495	-16.1479
1.64105	0.0527928	1.8582	0.086913	1.6419	1.86024	-0.217149	-0.0341202	-0.218332	-11.686	-39.2579	-11.7368
1.72372	0.0473872	1.84781	0.073505	1.72437	1.84927	-0.124084	-0.0261178	-0.124894	-6.71522	-35.532	-6.75373
1.72122	0.0213089	1.84239	0.058402	1.72135	1.84331	-0.12117	-0.0370931	-0.121963	-6.57678	-63.5134	-6.61653
2.08153	0.161365	1.83852	0.042103	2.08777	1.839	0.243008	0.119262	0.248771	13.2176	283.262	13.5275
1.63414	0.0542815	1.83455	0.025873	1.63504	1.83473	-0.200408	0.0284085	-0.199689	-10.9241	109.8	-10.8838
1.55836	0.0345202	1.83061	0.013975	1.55874	1.83066	-0.272253	0.0205452	-0.271924	-14.8722	147.014	-14.8538
1.69549	0.026406	1.82564	0.005462	1.6957	1.82565	-0.130148	0.020944	-0.12995	-7.12887	383.449	-7.11803
1.57007	0.0413994	1.82195	-0.002104	1.57062	1.82195	-0.251879	0.0435034	-0.251335	-13.8247	-2067.65	-13.7948
1.58532	0.0181007	1.82229	-0.008711	1.58543	1.82231	-0.23697	0.0268117	-0.236887	-13.0039	-307.791	-12.9993
1.5801	0.0373261	1.82374	-0.014219	1.58054	1.8238	-0.243648	0.0515451	-0.243263	-13.3598	-362.509	-13.3383
1.55741	0.0267338	1.82153	-0.018848	1.55764	1.82163	-0.264114	0.0455818	-0.263982	-14.4996	-241.839	-14.4916
1.53483	0.0155826	1.81588	-0.021537	1.53491	1.81601	-0.281058	0.0371196	-0.281107	-15.4778	-172.353	-15.4793
1.48518	0.0301905	1.80957	-0.019578	1.48549	1.80967	-0.324381	0.0497685	-0.32418	-17.9259	-254.206	-17.9137
1.48069	0.0031717	1.8016	-0.014131	1.4807	1.80165	-0.320906	0.0173027	-0.320958	-17.8123	-122.445	-17.8146
